,site_no,analyze_start,analyze_end,analyze_range,quantile,valid,missing,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,annual_duration,event_duration,event_hmf,inter_annual,intra_annual,timing,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
1147,9429000,1990-10-01,2020-09-30,30,0.9,True,0.0,1830.0,28,0.0114438571175376,0.0001336878780624,0.0,37.53571428571428,3.125616754799086,0.0008839675639776712,0.93,10.39285714285714,286.1428571428572,0.0,0.0,0.0,0.0004679075732184,0.0021774522361536,0.0041224797954144,0.004324566935533824,0.003197229407018182,0.0003250450368576,0.0,0.0,0.0,33.7319659,-114.5118999,1950-10-01,2020-09-30,70.0,AZ,False
1148,9429180,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,39.7,28,0.0009079766118285119,0.000417473165886624,0.000173645699394384,37.53571428571428,1.460561190679329,2.938650236186108e-05,0.93,22.25,146.5925925925926,5.598403086896138e-05,8.779128585091198e-05,9.70734451960407e-05,0.0001049803325295709,0.0001586493033757265,0.0001297429649456055,0.000107557577451576,8.164222597802879e-05,7.637975848166397e-05,0.0001000862144111833,0.000113427902467584,7.976814910960894e-05,33.4916942,-114.6035666,1968-01-01,2020-09-30,52.7,AZ,False
1149,9473000,1990-10-01,2020-09-30,30,0.9,True,0.06662407593319342,34.0,28,0.01154599290882331,0.007222221110342016,0.005516320097416753,36.5,4.528540853987283,0.001572618792348734,0.93,7.857142857142857,216.1428571428571,0.006086957630267808,0.00353392546557204,0.003276413195265504,0.00060185758437504,0.00023487125243904,6.605753974848e-05,0.003112587778272001,0.002498256542064384,0.000490477232632464,0.00048640980078684,0.000537458279163456,0.000976672958059008,32.84423324,-110.6301,1931-05-01,2020-09-30,89.4,AZ,False
1150,9516500,1991-03-01,2020-09-30,29,0.9,True,0.06635027836086516,5.5,27,0.01963739059652353,0.01724695217926155,0.01246111604549146,37.66666666666666,inf,inf,0.93,3.333333333333333,212.3703703703704,0.01281484465638411,0.01800675153713465,0.008569638515131445,0.00407477157226272,0.0005019394390665984,0.000241232348859264,0.0008785190655611328,0.001332475177647963,0.002194020445752737,0.003905223886908288,0.0006444279988796161,0.002556854938986768,33.88503188,-112.6621198,1938-10-01,2020-09-30,82.0,AZ,False
1152,9431500,1990-10-01,2020-09-30,30,0.9,True,0.0,476.3999999999996,27,0.07545362219520567,0.05625501767378754,0.03665977794936935,40.5925925925926,9.69373897707231,0.01804438832241134,0.9,3.62962962962963,221.2962962962963,0.04052615384115972,0.02983382181948443,0.02231961939323829,0.0188505150729869,0.02292270026538645,0.002353605675482884,0.00343874348275853,0.008683844661629934,0.02169785044787923,0.004752880761162244,0.0211607988857617,0.01668789607485935,32.72694444,-108.6755556,1930-10-01,2020-09-30,90.0,AZ,False
1153,9492400,1990-10-01,2020-09-30,30,0.9,True,0.0,68.26000000000022,27,0.005260485381827,0.002203268138861878,0.0002220566334112886,40.5925925925926,9.210802469135801,0.0011647921949373,0.9,3.925925925925926,247.6666666666667,0.0008064239210479844,0.0003800836663602028,0.000520677329426621,0.002319654932929099,0.003702519666067746,0.0007489892008913616,0.0002525844593938158,0.0007056046204133445,0.0002275266326492261,5.704190886058506e-05,0.0001892507737534841,0.0003239388351999062,33.8222723,-109.8145413,1957-08-01,2020-09-30,63.2,AZ,False
1154,9510200,1990-10-01,2020-09-30,30,0.9,True,0.0,27.26000000000022,27,0.01844241695158624,0.01776919728922283,0.01259553996739279,40.5925925925926,11.18514109347443,0.005470452669939148,0.9,4.037037037037037,168.4074074074074,0.0128460594652462,0.007741561381092748,0.005979266714448953,0.001937975305248755,0.0004271231588625701,0.0,0.0004476114815083767,0.0005366563460677429,0.0005456461519915385,0.001088611944551306,0.0009199221916884225,0.003306342228061307,33.69421054,-111.541802,1960-10-01,2020-09-30,60.0,AZ,False
1155,9424900,1990-10-01,2020-09-30,30,0.9,True,0.0005475951446564098,44.6,27,0.02715666235319117,0.02492662686557523,0.01529703237504736,40.55555555555556,16.91913580246914,0.01245082075203412,0.9,3.222222222222222,199.5185185185185,0.01290637104756895,0.01176362454143117,0.01360026880399354,0.002568065497650432,8.293891101753597e-05,0.0,0.001726303705426944,0.002461401794050215,0.001469731327892755,0.004320285428327904,0.00813943063226765,0.005201052624974303,34.305854,-113.3471441,1966-04-18,2020-09-30,54.5,AZ,False
1156,9528800,1990-10-01,2020-09-30,30,0.9,True,0.0,3.41,27,0.0002529568825603008,0.0001237985349179264,6.0067960355648e-05,40.55555555555556,1.416693149495461,7.09800304919495e-06,0.9,24.48148148148148,145.5555555555555,2.26739986653007e-05,1.849978099289376e-05,2.1541515166656e-05,1.814543530128e-05,1.767715215725406e-05,3.556953857901024e-05,2.398674172387301e-05,8.998247324802693e-06,2.292196629272256e-05,6.774323029983936e-05,4.980860825812704e-05,5.41488332771568e-05,32.75865679,-114.5246718,1966-10-01,2020-09-30,54.0,AZ,False
1158,9521100,1990-10-01,2020-09-30,30,0.9,True,0.0,1890.0,27,0.2458464091116544,0.1873089176810432,0.0614380426615424,40.2962962962963,9.575133611244723,0.04709496001548499,0.9,5.518518518518518,188.2592592592593,0.03241712598768001,0.09007475636073602,0.1204173901665,0.082449595908288,0.05170429654387201,0.1086034884975936,0.030512292169536,0.007276523437108801,0.0106460987340672,0.0204778373220288,0.0218059783328448,0.0184451408056944,32.73171354,-114.6327306,1963-10-01,2020-09-30,57.0,AZ,False
1159,9485000,1990-10-01,2020-09-30,30,0.9,True,0.03331203796659665,9.398999999999997,27,0.004474894504624813,0.003509451418936955,0.002407257627389377,39.25925925925926,7.945634920634921,0.0009093466139842466,0.9,4.444444444444445,216.2962962962963,0.002500134660711454,0.001640252424104518,0.001595624953973746,0.0006277499992028413,0.0,0.0,0.0009916364859415391,0.0007362551441012458,0.0002995544283744197,0.001080003260729273,0.001331369325501063,0.0008767132209662804,32.12952258,-110.625914,1952-10-01,2020-09-30,68.0,AZ,False
1160,9423000,1990-10-01,2020-09-30,30,0.9,True,0.0,18400.0,27,0.123470512566912,0.08659971294598401,0.02600619191744,39.03703703703704,3.951276198352221,0.01172731595648724,0.9,8.555555555555555,199.0740740740741,0.061898361319872,0.0668404439232768,0.023150721106296,0.05024287541758464,0.027551159067936,0.01957260436992,0.008353307936448,0.057005210227392,0.010030959739584,0.02201917991616,0.009541644630336,0.244168239514752,35.19166556,-114.5721876,1905-05-11,2020-09-30,115.4,AZ,False
1161,9507980,1990-10-01,2020-03-09,30,0.9,True,0.05202153874235649,73.0,27,0.03721050210482797,0.03505214221932595,0.02461291245081088,38.4074074074074,7.093224573780129,0.006915614069455293,0.9,5.074074074074074,162.3333333333333,0.02482655007622283,0.01108912696405229,0.01261060181136672,0.004918014416468664,0.0,0.0,0.0004889370021181266,0.002503731314962545,0.001175960128386624,0.001953052327052467,0.002587375968926112,0.0108931818935899,34.27642068,-111.6387561,1961-09-01,2020-03-09,58.5,AZ,False
1162,9424450,1990-10-01,2020-09-30,30,0.9,True,0.0,53.06000000000022,26,0.08237733159457683,0.07373384366707741,0.05501413247040739,42.15384615384615,17.48223443223443,0.03296794456482343,0.87,3.346153846153846,192.0769230769231,0.04022054719652777,0.04577237636715645,0.0236300419544376,0.005902285214886511,0.0003192291772733914,0.0,0.002335931613736841,0.003779249712032388,0.006315356331178404,0.0221085190688065,0.02637346458932881,0.01578353573469536,34.46251664,-113.6243774,1966-03-29,2020-09-30,54.5,AZ,False
1163,9489500,1990-10-01,2020-09-30,30,0.9,True,0.0,516.3000000000011,26,0.05057628720510136,0.04713433180777957,0.01286904383265806,42.15384615384615,14.80952380952381,0.01817095832688913,0.87,3.192307692307693,201.9615384615385,0.01100134499848915,0.01483733267942003,0.02406888595772058,0.0260128300335252,0.006785479414474759,0.001213746128489656,0.000956855696134456,0.003345906134843482,0.003246570798781238,0.002942741067017461,0.007090420590558128,0.005282727471959607,33.47672039,-109.7639775,1953-06-01,2020-09-30,67.3,AZ,False
1164,9432000,1990-10-01,2020-09-30,30,0.9,True,0.0,491.0,26,0.08666438688104322,0.06901112102714851,0.04808029083282742,42.11538461538461,10.90512820512821,0.02221971494457071,0.87,3.5,198.0769230769231,0.05439765001020941,0.04011179427872374,0.02570146431137014,0.01703305895292288,0.0371757154251168,0.00239519745976896,0.00232098466819968,0.01222131210134505,0.02018710259461728,0.0057616854113952,0.01817022726681523,0.02051752621422336,32.64630833,-108.8468472,1927-07-01,2020-09-30,93.3,AZ,False
1165,9448500,1990-10-01,2020-09-30,30,0.9,True,0.0,997.0,26,0.1888153146726072,0.1588773225057441,0.113922061437941,42.07692307692308,11.45961538461539,0.06085296311372852,0.87,3.576923076923077,217.9615384615385,0.1442810100245765,0.07532394462986401,0.05534713102862592,0.025627878846864,0.03783996068592096,0.00853365550528512,0.00289124065176912,0.02181978400914144,0.030399590825867,0.0169215650101728,0.03779078451744153,0.03559414025533632,32.8827222,-109.4796056,1920-10-01,2020-09-30,100.0,AZ,False
