,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
356,22472,1990-12-22 00:00:00+00:00,0.0,A,06774000,0
357,22473,1990-12-23 00:00:00+00:00,0.0,A,06774000,0
358,22474,1990-12-24 00:00:00+00:00,0.0,A,06774000,0
359,22475,1990-12-25 00:00:00+00:00,0.0,A,06774000,0
360,22476,1990-12-26 00:00:00+00:00,0.0,A,06774000,0
361,22477,1990-12-27 00:00:00+00:00,0.0,A,06774000,0
362,22478,1990-12-28 00:00:00+00:00,0.0,A,06774000,0
363,22479,1990-12-29 00:00:00+00:00,0.0,A,06774000,0
364,22480,1990-12-30 00:00:00+00:00,0.0,A,06774000,0
365,22481,1991-01-01 00:00:00+00:00,0.0,A,06774000,0
366,22482,1991-01-02 00:00:00+00:00,0.0,A,06774000,0
367,22483,1991-01-03 00:00:00+00:00,0.0,A,06774000,0
368,22484,1991-01-04 00:00:00+00:00,0.0,A,06774000,0
369,22485,1991-01-05 00:00:00+00:00,0.0,A,06774000,0
370,22486,1991-01-06 00:00:00+00:00,0.0,A,06774000,0
371,22487,1991-01-07 00:00:00+00:00,0.0,A,06774000,0
372,22488,1991-01-08 00:00:00+00:00,0.0,A,06774000,0
373,22489,1991-01-09 00:00:00+00:00,0.0,A,06774000,0
374,22490,1991-01-10 00:00:00+00:00,0.0,A,06774000,0
375,22491,1991-01-11 00:00:00+00:00,0.0,A,06774000,0
376,22492,1991-01-12 00:00:00+00:00,0.0,A,06774000,0
377,22493,1991-01-13 00:00:00+00:00,0.0,A,06774000,0
378,22494,1991-01-14 00:00:00+00:00,0.0,A,06774000,0
379,22495,1991-01-15 00:00:00+00:00,0.0,A,06774000,0
380,22496,1991-01-16 00:00:00+00:00,0.0,A,06774000,0
381,22497,1991-01-17 00:00:00+00:00,0.0,A,06774000,0
382,22498,1991-01-18 00:00:00+00:00,0.0,A,06774000,0
383,22499,1991-01-19 00:00:00+00:00,0.0,A,06774000,0
384,22500,1991-01-20 00:00:00+00:00,0.0,A,06774000,0
385,22501,1991-01-21 00:00:00+00:00,0.0,A,06774000,0
386,22502,1991-01-22 00:00:00+00:00,0.0,A,06774000,0
387,22503,1991-01-23 00:00:00+00:00,0.0,A,06774000,0
388,22504,1991-01-24 00:00:00+00:00,0.0,A,06774000,0
389,22505,1991-01-25 00:00:00+00:00,0.0,A,06774000,0
390,22506,1991-01-26 00:00:00+00:00,0.0,A,06774000,0
391,22507,1991-01-27 00:00:00+00:00,0.0,A,06774000,0
392,22508,1991-01-28 00:00:00+00:00,0.0,A,06774000,0
393,22509,1991-01-29 00:00:00+00:00,0.0,A,06774000,0
394,22510,1991-01-30 00:00:00+00:00,0.0,A,06774000,0
395,22511,1991-01-31 00:00:00+00:00,0.0,A,06774000,0
396,22512,1991-02-01 00:00:00+00:00,0.0,A,06774000,0
397,22513,1991-02-02 00:00:00+00:00,0.0,A,06774000,0
398,22514,1991-02-03 00:00:00+00:00,0.0,"A, e",06774000,0
399,22515,1991-02-04 00:00:00+00:00,0.0,"A, e",06774000,0
400,22516,1991-02-05 00:00:00+00:00,0.0,"A, e",06774000,0
401,22517,1991-02-06 00:00:00+00:00,0.0,"A, e",06774000,0
402,22518,1991-02-07 00:00:00+00:00,0.0,"A, e",06774000,0
403,22519,1991-02-08 00:00:00+00:00,0.0,"A, e",06774000,0
404,22520,1991-02-09 00:00:00+00:00,0.0,"A, e",06774000,0
