,Parameter Code,Count
1290,p61646,271
1291,p61652,271
1292,p61664,271
1293,p61666,271
1294,p61668,258
1295,p61674,271
1296,p61692,208
1297,p61693,208
1298,p61694,208
1299,p61695,208
1300,p61697,208
1301,p61744,46
1302,p61759,46
1303,p62166,369
1304,p62167,369
1305,p62168,369
1306,p62169,369
1307,p62170,369
1308,p62650,8
1309,p62651,8
1310,p62680,8
1311,p62694,46
1312,p62751,8
1313,p62781,46
1314,p62792,43
1315,p62835,69
1316,p63727,46
1317,p63728,6
1318,p63729,46
1319,p63730,6
1320,p63731,46
1321,p64047,46
1322,p64175,46
1323,p66496,113
1324,p73547,130
1325,p73570,130
1326,p77032,68
1327,p77035,68
1328,p77041,191
1329,p77073,5
1330,p77093,279
1331,p77103,141
1332,p77128,304
1333,p77135,249
1334,p77168,190
1335,p77170,194
1336,p77173,194
1337,p77220,139
1338,p77221,139
1339,p77222,248
1340,p77224,248
1341,p77226,199
1342,p77275,190
1343,p77277,194
1344,p77297,233
1345,p77342,199
1346,p77350,248
1347,p77353,199
1348,p77356,199
1349,p77424,130
1350,p77443,242
1351,p77562,243
1352,p77613,190
1353,p77651,259
1354,p77652,216
1355,p78032,294
1356,p78109,130
1357,p78133,141
1358,p79846,231
1359,p79847,231
1360,p81552,151
1361,p81555,190
1362,p81576,162
1363,p81577,154
1364,p81593,130
1365,p81595,154
1366,p81597,130
1367,p81607,134
1368,p82346,273
1369,p82625,243
1370,p82662,271
1371,p85795,245
1372,p90640,208
1373,p90797,63
1374,p90867,316
1375,p90902,364
1376,p99571,63
1377,p99572,66
1378,p99832,265
1379,p99833,214
1380,p99834,214
1381,p99840,208
1382,p99958,208
1383,p99959,208
1384,p99972,258
1385,p99994,258
1386,p99995,258
1387,p80170,242
1388,p80171,210
1389,p80172,181
1390,p00905,740
1391,p01077,451
1392,p30210,19
1393,p72019,19
1394,p00080,277
1395,p00720,168
1396,p00745,53
1397,p01007,463
1398,p01012,403
1399,p01037,273
1400,p01062,197
1401,p01105,639
1402,p01132,191
1403,p01300,984
1404,p01320,1009
1405,p01325,1008
1406,p01330,1005
1407,p01340,979
1408,p01345,1069
1409,p01350,1049
1410,p31616,296
1411,p34200,125
1412,p34205,125
1413,p34230,125
1414,p34242,125
1415,p34320,125
1416,p34381,125
1417,p34403,125
1418,p34447,181
1419,p34521,125
1420,p34526,125
1421,p34556,125
1422,p49278,501
1423,p49279,503
1424,p71833,92
1425,p72105,972
1426,p90909,111
1427,p99631,130
1428,p99813,50
1429,p99820,211
1430,p99848,217
1431,p99855,102
1432,p72103,354
1433,p00418,120
1434,p04039,186
1435,p34257,67
1436,p39076,68
1437,p39333,155
1438,p39343,147
1439,p39363,147
1440,p39368,147
1441,p39373,147
1442,p39383,155
1443,p39389,146
1444,p39393,155
1445,p39403,155
1446,p39413,146
1447,p39423,155
1448,p39481,155
1449,p39507,73
1450,p39511,73
1451,p39701,78
1452,p39758,154
1453,p46343,58
1454,p50295,128
1455,p50410,25
1456,p61159,74
1457,p61649,103
1458,p61696,25
1459,p62538,44
1460,p62539,44
1461,p62540,44
1462,p62541,43
1463,p62542,44
1464,p62543,44
1465,p62544,44
1466,p62545,44
1467,p62546,35
1468,p62547,42
1469,p62548,67
1470,p62549,67
1471,p62550,67
1472,p62551,67
1473,p62552,67
1474,p62553,67
1475,p62554,67
1476,p62555,74
1477,p62556,67
1478,p62557,67
1479,p62558,67
1480,p62560,67
1481,p62561,67
1482,p62562,74
1483,p62563,45
1484,p62565,67
1485,p62566,67
1486,p62568,67
1487,p62594,119
1488,p62595,118
1489,p62596,118
1490,p62802,59
1491,p62803,58
1492,p62804,58
1493,p62836,58
1494,p62837,58
1495,p62838,48
1496,p62854,474
1497,p90855,159
1498,p99112,443
1499,p99750,86
1500,p99827,85
1501,p99962,58
1502,p00003,522
1503,p49273,399
1504,p99583,38
1505,p01028,226
1506,p01029,204
1507,p01038,176
1508,p01043,210
1509,p01052,231
1510,p01053,202
1511,p01093,214
1512,p01148,73
1513,p31751,1
1514,p34609,24
1515,p39251,87
1516,p39351,98
1517,p39519,100
1518,p39731,9
1519,p39741,9
1520,p39761,9
1521,p71921,202
1522,p81886,89
1523,p01310,118
1524,p00447,270
1525,p00495,150
1526,p01068,172
1527,p01082,288
1528,p04060,90
1529,p28011,122
1530,p34273,102
1531,p34278,102
1532,p34283,102
1533,p34292,102
1534,p34341,102
1535,p34386,164
1536,p34428,102
1537,p34433,102
1538,p34438,100
1539,p34452,97
1540,p34581,102
1541,p34586,97
1542,p34591,97
1543,p34596,102
1544,p34601,97
1545,p34606,97
1546,p34611,102
1547,p34616,97
1548,p34621,97
1549,p34626,102
1550,p34631,95
1551,p34636,102
1552,p34641,102
1553,p34646,97
1554,p34657,93
1555,p34815,102
1556,p39110,102
1557,p39700,103
1558,p49270,455
1559,p49271,469
1560,p49272,454
1561,p49280,500
1562,p49381,460
1563,p49382,449
1564,p49383,454
1565,p49384,456
1566,p49387,475
1567,p49388,471
1568,p49389,483
1569,p49390,475
1570,p49391,449
1571,p49392,449
1572,p49393,473
1573,p49394,449
1574,p49395,454
1575,p49396,454
1576,p49397,482
1577,p49398,477
1578,p49399,477
1579,p49400,471
1580,p49401,457
1581,p49402,474
1582,p49403,471
1583,p49404,473
1584,p49405,472
1585,p49406,472
1586,p49407,454
1587,p49408,479
1588,p49409,478
1589,p49410,472
1590,p49411,471
1591,p49413,455
1592,p49421,450
1593,p49422,450
1594,p49424,449
1595,p49426,460
1596,p49427,457
1597,p49428,483
1598,p49429,480
1599,p49430,454
1600,p49431,448
1601,p49433,449
1602,p49434,482
1603,p49435,476
1604,p49436,476
1605,p49437,453
1606,p49438,454
1607,p49439,454
1608,p49441,454
1609,p49442,455
1610,p49443,451
1611,p49444,449
1612,p49446,591
1613,p49449,453
1614,p49450,478
1615,p49451,478
1616,p49452,453
1617,p49454,454
1618,p49455,455
1619,p49456,50
1620,p49458,482
1621,p49461,477
1622,p49466,472
1623,p49467,448
1624,p49468,450
1625,p49948,471
1626,p62360,289
1627,p64847,138
1628,p64848,116
1629,p64906,137
1630,p70953,411
1631,p82626,88
1632,p90630,51
1633,p90652,55
1634,p90853,86
1635,p91820,51
1636,p91821,70
